+-------+-----------+-----------------------------------------------+--------+
|   #   | Thread    |                      Song                     |  Time  |
|  165  | Thread-3  |                 成者为王(MTV)                 | 0.9861 |
|  166  | Thread-6  |                      等你                     | 0.9860 |
|  167  | Thread-3  |                   你要的未来                  | 0.9842 |
|  168  | Thread-2  |             星星之火-盼星星盼月亮             | 0.9832 |
|  169  | Thread-8  |                   情在草原飞                  | 0.9828 |
|  170  | Thread-10 |             五洲唱响乐团-新年快乐-            | 0.9805 |
|  171  | Thread-10 |                我爱的人你在何方               | 0.9799 |
|  172  | Thread-4  |                我究竟到底算什么               | 0.9797 |
|  173  | Thread-3  |                    我要的爱                   | 0.9794 |
|  174  | Thread-4  |              舞曲97-快四(欣赏版)              | 0.9792 |
|  175  | Thread-9  |                 斗地主(FLASH)                 | 0.9788 |
|  176  | Thread-1  |                 壁花小姐(MTV)                 | 0.9775 |
|  177  | Thread-7  |                  远远懂你的人                 | 0.9774 |
|  178  | Thread-8  |                     炸炸歌                    | 0.9771 |
|  179  | Thread-7  |                    转身之后                   | 0.9757 |
|  180  | Thread-8  |                   雾霭(MTV)                   | 0.9754 |
|  181  | Thread-9  |                     门没锁                    | 0.9748 |
|  182  | Thread-2  |                 对你怀念特别多                | 0.9742 |
|  183  | Thread-2  |                      之间                     | 0.9721 |
|  184  | Thread-9  |                    一路惊喜                   | 0.9721 |
|  185  | Thread-1  |                   一生守护你                  | 0.9720 |
|  186  | Thread-10 |                  那时间(MTV)                  | 0.9713 |
|  187  | Thread-6  |                 当做没有爱过我                | 0.9708 |
|  188  | Thread-8  |                      落荒                     | 0.9696 |
|  189  | Thread-7  |                 芭比电话(MTV)                 | 0.9694 |
|  190  | Thread-9  |                    天雷地火                   | 0.9693 |
|  191  | Thread-10 |                   算不算可惜                  | 0.9690 |
|  192  | Thread-6  |                   入夜的台北                  | 0.9689 |
|  193  | Thread-7  |                      虎口                     | 0.9679 |
|  194  | Thread-7  |                    绮丽勇士                   | 0.9648 |
|  195  | Thread-9  |                说谎的眼泪(MTV)                | 0.9645 |
|  196  | Thread-10 |                   等我那一天                  | 0.9645 |
|  197  | Thread-10 |                      惯了                     | 0.9640 |
|  198  | Thread-9  |                全世界最爱你的人               | 0.9638 |
|  199  | Thread-1  |                  没有权利爱你                 | 0.9633 |
|  200  | Thread-6  |                    新年快乐                   | 0.9622 |
|  201  | Thread-1  |                     深深情                    | 0.9595 |
|  202  | Thread-9  |                     我懂你                    | 0.9595 |
|  203  | Thread-9  |                   爱情不会老                  | 0.9591 |
|  204  | Thread-2  |                      细味                     | 0.9590 |
|  205  | Thread-4  |                      自由                     | 0.9586 |
|  206  | Thread-8  |                   情义(DJ版)                  | 0.9582 |
|  207  | Thread-5  |             变得更好(梦想版)(MTV)             | 0.9580 |
|  208  | Thread-2  |                 俺来唱条客家歌                | 0.9579 |
|  209  | Thread-8  |                    青春派对                   | 0.9570 |
|  210  | Thread-9  |          远方的客人请你留下来(演唱会)         | 0.9568 |
|  211  | Thread-6  |                     绿灯行                    | 0.9561 |
|  212  | Thread-7  |                  过日子(MTV)                  | 0.9551 |
|  213  | Thread-3  |                  上帝是个女孩                 | 0.9549 |
|  214  | Thread-10 |                    人生舞台                   | 0.9547 |
|  215  | Thread-6  |                  关于你我的事                 | 0.9536 |
|  216  | Thread-5  |                  救姻缘-探戈                  | 0.9533 |
|  217  | Thread-2  |                 放手_Let_It_Go                | 0.9519 |
|  218  | Thread-1  |                     老黑爵                    | 0.9510 |
|  219  | Thread-1  |                  童话不够美好                 | 0.9506 |
|  220  | Thread-6  |                      知己                     | 0.9502 |
|  221  | Thread-5  |                Radio_In_My_Head               | 0.9481 |
|  222  | Thread-1  |                  江湖行(MTV)                  | 0.9476 |
|  223  | Thread-7  |              谁不说俺家乡好(高清)             | 0.9476 |
|  224  | Thread-9  |                     中山桥                    | 0.9474 |
|  225  | Thread-2  |                      缺席                     | 0.9466 |
|  226  | Thread-7  |                      阿妈                     | 0.9453 |
|  227  | Thread-7  |                   散场的拥抱                  | 0.9435 |
|  228  | Thread-6  |                      日落                     | 0.9429 |
|  229  | Thread-1  |                生命之诗(演唱会)               | 0.9428 |
|  230  | Thread-3  |                      世界                     | 0.9425 |
|  231  | Thread-10 |                      白领                     | 0.9424 |
|  232  | Thread-3  |                   祝妈妈长寿                  | 0.9417 |
|  233  | Thread-7  |                    离不开你                   | 0.9413 |
|  234  | Thread-10 |                       狼                      | 0.9408 |
|  235  | Thread-3  |                      天空                     | 0.9403 |
|  236  | Thread-4  |                   又是清秋雨                  | 0.9402 |
|  237  | Thread-2  |                    给我自由                   | 0.9394 |
|  238  | Thread-5  |                    快乐2000                   | 0.9389 |
|  239  | Thread-7  |                     好日子                    | 0.9377 |
|  240  | Thread-3  |                如果你真的在乎我               | 0.9377 |
|  241  | Thread-4  |               拥抱到最后(影视剧)              | 0.9374 |
|  242  | Thread-10 |                  银白色的沙滩                 | 0.9355 |
|  243  | Thread-9  |                    爱上爱情                   | 0.9355 |
|  244  | Thread-3  |                给我几秒种(MTV)                | 0.9354 |
|  245  | Thread-7  |                    爱你永远                   | 0.9351 |
|  246  | Thread-5  |                   寄语贺年卡                  | 0.9349 |
|  247  | Thread-3  |                       鱼                      | 0.9341 |
|  248  | Thread-3  |                    欢乐节日                   | 0.9340 |
|  249  | Thread-7  |                 头儿肩膀膝脚趾                | 0.9320 |
|  250  | Thread-10 |                    爱昏了头                   | 0.9313 |
|  251  | Thread-3  |                 当作没有爱过我                | 0.9308 |
|  252  | Thread-6  |          春秋配-羞答答出门来将头低下          | 0.9307 |
|  253  | Thread-2  |        匆匆那年(我是歌手第三季)(演唱会)       | 0.9295 |
|  254  | Thread-5  |                 假如我是一束花                | 0.9289 |
|  255  | Thread-6  |                   阿美!阿美                   | 0.9289 |
|  256  | Thread-4  |                   幸福著爱你                  | 0.9286 |
|  257  | Thread-5  |                     唐布拉                    | 0.9268 |
|  258  | Thread-7  |                  一支难忘的歌                 | 0.9263 |
|  259  | Thread-7  |                钢铁是眼泪炼成的               | 0.9257 |
|  260  | Thread-10 |                       等                      | 0.9245 |
|  261  | Thread-6  |              唱不完的情唱不完的情             | 0.9233 |
|  262  | Thread-10 |                 军营天晴也下雨                | 0.9224 |
|  263  | Thread-5  |                      幻觉                     | 0.9220 |
|  264  | Thread-7  |                      班长                     | 0.9219 |
|  265  | Thread-7  |                      占线                     | 0.9218 |
|  266  | Thread-7  |                    家的味道                   | 0.9217 |
|  267  | Thread-4  |                      染月                     | 0.9215 |
|  268  | Thread-6  |                 爱你胜过爱自己                | 0.9209 |
|  269  | Thread-4  |              西施-水殿风来秋气紧              | 0.9201 |
|  270  | Thread-10 |                    好大的风                   | 0.9195 |
|  271  | Thread-9  |                 小亲亲(演唱会)                | 0.9193 |
|  272  | Thread-10 |                大头儿子小头爸爸               | 0.9193 |
|  273  | Thread-7  |                   大地迎春晖                  | 0.9181 |
|  274  | Thread-1  |                  看着办(MTV)                  | 0.9176 |
|  275  | Thread-7  |                    你的眼睛                   | 0.9176 |
|  276  | Thread-7  |                   背影(MTV)                   | 0.9172 |
|  277  | Thread-6  |                 今年春节要回家                | 0.9172 |
|  278  | Thread-2  |                   军营四季歌                  | 0.9170 |
|  279  | Thread-6  |                     蓝若词                    | 0.9165 |
|  280  | Thread-10 |                      来电                     | 0.9159 |
|  281  | Thread-9  |                 爱天爱地(MTV)                 | 0.9156 |
|  282  | Thread-8  |               爱上你是我犯下的罪              | 0.9144 |
|  283  | Thread-1  |                 让我默默的离开                | 0.9134 |
|  284  | Thread-4  |                 Wonan_In_Love                 | 0.9128 |
|  285  | Thread-2  |                  黄河谣(MTV)                  | 0.9127 |
|  286  | Thread-7  |               带上你的故事跟我走              | 0.9123 |
|  287  | Thread-1  |                    涛声依旧                   | 0.9120 |
|  288  | Thread-6  |                     小聪明                    | 0.9116 |
|  289  | Thread-6  |                     渡红尘                    | 0.9109 |
|  290  | Thread-6  |                  搞破坏(MTV)                  | 0.9104 |
|  291  | Thread-5  |                    在我身边                   | 0.9102 |
|  292  | Thread-3  |                   大牛爱小马                  | 0.9098 |
|  293  | Thread-8  |                    Dinosaur                   | 0.9098 |
|  294  | Thread-8  |                      母亲                     | 0.9096 |
|  295  | Thread-2  |                  分手前的雨天                 | 0.9093 |
|  296  | Thread-9  |                   妻子的双手                  | 0.9093 |
